Zona,Immuebla,Edificio,Uso,Calle,Calle2,Colonia,Delegación/Colonia,Año estimado de construcción,Número de pisos:,Sistema estructural,Periodo estimado de la estructura (Te),Periodo estimado del suelo (Ts),amax Estructura,amax Suelo,Cociente Te/Ts,Daño,Daño en Estructuras,Observaciones,Agravante de los daños,MM,Geometry
17M,17M|CUAU_159,Edificio,Edificio de departamentos,Av. México 151,Teotihuacán y Av. Michoacán,Hipódromo,Cuauhtémoc,1985,6,Marcos de concreto con muros de mampostería,0.550335,1.460668,113.6354,224.8578,0.3767694,Menores,Grietas en acabados y elementos no estructurales,"Daño en muros bajos de ventana, caída del relleno de los contraventeos, un hundimiento del lados derecho",Planta baja débil,6100,"POLYGON((-99.168121237107 19.4115144353922, -99.1681353431349 19.4114724932382, -99.1681643994767 19.4113860859393, -99.1684736910476 19.4115302497802, -99.1684115608447 19.4116472112653))"
17M,17M|CUAU_124,Edificio,Comercio,Doctor Duran 4,Esq. Eje Central Lázaro Cárdenas,Doctores,Cuauhtémoc,1977,8,Marcos de concreto con muros de mampostería,0.6828593,2.92574,103.5302,366.9326,0.2333971,Menores,Grietas en acabados y elementos no estructurales,"Desprendimiento de acabados de recubrimiento de mortero en fachada principal, el edificio presenta un deterioro por humedad en fachada principal, el edificio tiene un anuncio espectacular en la azotea","Efecto de esquina
Irregularidad en planta
Presencia de apéndices",6720,"POLYGON((-99.1443497465884 19.4118006189649, -99.1443729516584 19.4115723254687, -99.1443739051509 19.4115723804585, -99.1446682568278 19.4115894705421, -99.1446463898062 19.4119075295437, -99.1444352358257 19.4118929265157))"
17M,17M|CUAU_161,Edificio,Edificio de departamentos,Av. Insurgentes Sur 348,Chiapas y Manzanillo,Roma Norte,Cuauhtémoc,1977,10,Marcos de concreto con muros de mampostería,0.8072606,1.557781,113.6354,276.7823,0.518212,Menores,Grietas en acabados y elementos no estructurales,Desprendimiento de acabados de fachada,Ubicación en cuña,6700,"POLYGON((-99.1663291608867 19.4117423247373, -99.1664484460949 19.4117181344316, -99.1664515521664 19.4117173483602, -99.1664535251717 19.4117175839887, -99.166455470146 19.4117183712978, -99.1664570820197 19.411719610728, -99.1664582558497 19.4117211937251, -99.1664588673386 19.4117227223205, -99.1664590593118 19.411724069932, -99.1663949114124 19.4119406503371, -99.1663852941367 19.4119395535525))"
17M,17M|CUAU_160,Edificio,Casa habitación,Teotihuacán 9,Ámsterdam y Av. Insurgentes Sur,Hipódromo,Cuauhtémoc,1951,3,Muros de mampostería confinada,0.237,1.520016,113.6354,161.533,0.1559194,Menores,Grietas en acabados y elementos no estructurales,"Golpeteo con edificación vecina, daño en columnas que recibieron el impacto.",Golpeteo,6100,"POLYGON((-99.1671879581435 19.4119151681845, -99.1672191560125 19.411819675547, -99.1673082561232 19.4118452868613, -99.1672783157552 19.4119402828191))"
17M,17M|CUAU_47,Hotel Lisboa,Hotel,Avenida Cuauhtémoc 273,Esq. Antonio M. Anza,Roma Norte,Cuauhtémoc,1977,7,Marcos de concreto,0.8699596,2.10161,90.70835,205.8455,0.4139492,Menores,Grietas en acabados y elementos no estructurales,Desprendimiento de acabados y leve agrietamiento en columna,"Efecto de esquina
Irregularidad en planta
Cambios de rigidez en elevación",6700,"POLYGON((-99.1549352334757 19.4121674080711, -99.1549534712113 19.4119149830874, -99.155191500283 19.4119104433908, -99.1551935410709 19.4120209324684, -99.1551962230723 19.4121665688192))"
17M,17M|CUAU_163,Edificio,Edificio de departamentos,Av. México 55,Esq. Laredo,Hipódromo,Cuauhtémoc,1980,10,Marcos de concreto con muros de mampostería,0.8072606,1.36538,128.5613,652.235,0.5912351,Menores,Grietas en acabados y elementos no estructurales,Desprendimiento de acabados de fachada,"Efecto de esquina
Planta baja débil
Irregularidad en planta",6100,"POLYGON((-99.1702088167002 19.4125508118334, -99.170260104366 19.4124247564964, -99.1702800854564 19.4124327681811, -99.1704436224973 19.4124983770106, -99.1703903057876 19.4126243884627))"
17M,17M|CUAU_03,Edificio,Edificio de departamentos,Coahuila 10,Mérida y Avenida Cuauhtémoc,Roma Norte,Cuauhtémoc,1959,6,Muros de mampostería confinada,0.474,2.133125,90.70835,153.4412,0.2222092,Colapso total,Colapso de la planta baja o de toda la estructura,"Colapso total, se puede observar que debido a la falta de rigidez de pisos intermedios el edificio perdió estabilidad","Golpeteo
Planta baja débil",6700,"POLYGON((-99.1551652972744 19.4125377380688, -99.1552365656055 19.412524498723, -99.1552702219623 19.4126709157254, -99.1551989345733 19.4126848957652))"
17M,17M|CUAU_307,Edificio,Edificio de departamentos,Ámsterdam 111,Laredo y Av. Michoacán,Hipódromo,Cuauhtémoc,1980,6,Marcos de concreto con muros de mampostería,0.550335,1.318118,128.5613,485.5663,0.4175158,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Daños en los muros de mampostería por el edificio vecino que colapso o en su demolición,"Planta baja débil
Daño causado por otro edificio",6100,"POLYGON((-99.1710507791109 19.4127173630579, -99.1710782973502 19.4126529958636, -99.1710870113162 19.4126326165559, -99.1712472568523 19.412693257348, -99.1712105678257 19.4127782663352))"
17M,17M|CUAU_183,Vivienda,Casa habitación,Orizaba 209,Chiapas y Coahuila,Roma Norte,Cuauhtémoc,1950,2,Muros de mampostería no confinada,0.158,1.974594,90.70835,111.6193,0.08001643,Intermedio,Estructuras débiles y sin ingeniería,"Múltiples agrietamientos en muros de mampostería, los agrietamientos se extienden por toda la vivienda. Presentaba daño previo","Daños previos
Autoconstrucción / Ampliaciones",6700,"POLYGON((-99.1584556903701 19.4126692074843, -99.1585305375795 19.4126541120431, -99.1588869278637 19.4125822221518, -99.15891649404 19.4127206259124, -99.1584910798785 19.4128114374295))"
17M,17M|CUAU_15,Edificio,Edificio de departamentos,Ámsterdam 107,Esq. Laredo,Hipódromo Condesa,Cuauhtémoc,1987,9,Marcos de concreto con muros de mampostería,0.7459258,1.33221,128.5613,612.4469,0.559916,Colapso total,Colapso de la planta baja o de toda la estructura,"La falta de muros en la planta baja, aunado a las grandes demandas de torsión pudieron haber contribuido considerablemente al colapso","Efecto de esquina
Golpeteo
Planta baja débil
Irregularidad en planta
Presencia de apéndices",6100,"POLYGON((-99.1709916800462 19.4128555773712, -99.1710507791109 19.4127173630579, -99.1711382574599 19.4127513328987, -99.1712105678257 19.4127782663352, -99.1711505651497 19.4129173492515))"
17M,17M|CUAU_273,Edificio,Edificio de departamentos,Fernando Montes de Oca 46,Esq. Amatlan,Condesa,Cuauhtémoc,1965,8,Marcos de concreto con muros de mampostería,0.6828593,1.068083,128.5613,571.5353,0.6393319,Intermedio,"Grietas pequeñas en muros, trabes o columnas","Severo agrietamiento por cortante de los muros de mampostería, colapso de algunos muros exteriores, desprendimiento de acabados","Efecto de esquina
Planta baja débil",6140,"POLYGON((-99.1747468139733 19.4129012223176, -99.1747620527595 19.4128741208726, -99.1748130038809 19.4127835083232, -99.1749546222137 19.4128565575029, -99.1748886306648 19.4129732401275))"
17M,17M|CUAU_74,Casa habitacional,Casa habitación,Francisco Ayala 4,Avenida Josué T. Cuellar y Avenida del Taller,Transito,Cuauhtémoc,1960,2,Muros de mampostería confinada,0.158,2.970357,76.90514,115.9812,0.05319227,Graves,"Grietas grandes en muros, trabes o columnas",Agrietamiento severo por cortante muros y castillos,"Golpeteo
Daños previos
Autoconstrucción / Ampliaciones",6870,"POLYGON((-99.1335673287247 19.413167832764, -99.1335862173942 19.4130404041176, -99.1335921800945 19.4130002449721, -99.1335962758341 19.4129726354816, -99.1337850348299 19.4130009548847, -99.1337622062495 19.4131619460802))"
17M,17M|CUAU_104,Edificio,Edificio de departamentos,Mazatlán 107,Esq. Vicente Suárez,Condesa,Cuauhtémoc,1972,4,Marcos de concreto con muros de mampostería,0.4060306,0.8890878,73.74731,128.0102,0.4566822,Menores,Grietas en acabados y elementos no estructurales,"Agrietamiento en muros divisorios en fachada principal, golpeteo con edificio dañado","Efecto de esquina
Golpeteo
Planta baja débil
Daño causado por otro edificio",6140,"POLYGON((-99.1779466825162 19.4131685037207, -99.1780193657142 19.4130398580375, -99.1780315507705 19.4130183038491, -99.1781666293908 19.4130856688702, -99.1780812660426 19.4132368249754))"
17M,17M|CUAU_11,Edificio,Comercio,Medellín 176,Esq. San Luis Potosí,Roma Norte,Cuauhtémoc,1972,6,Columnas y losa plana de concreto,0.7572634,1.731653,137.0712,298.007,0.4373066,Colapso total,Colapso de la planta baja o de toda la estructura,"La falta de muros en la planta baja, aunado a las grandes demandas de torsión pudieron haber contribuido considerablemente al colapso","Efecto de esquina
Golpeteo
Planta baja débil
Irregularidad vertical",6700,"POLYGON((-99.1646773273037 19.4132179425261, -99.1648274851937 19.4131885273952, -99.1648588150251 19.4133098228225, -99.1647042616895 19.4133388194584))"
17M,17M|CUAU_311,Plaza Condesa,Teatro,Juan Escutia 4,Esq. Tamaulipas,Hipódromo,Cuauhtémoc,1978,12,Columnas y losa plana de concreto,1.413103,1.267183,136.0753,486.2702,1.115153,Menores,Grietas en acabados y elementos no estructurales,Desprendimiento de acabados de recubrimiento de mortero en pretil en ultimo nivel,"Irregularidad en planta
Edificio alargado",6100,"POLYGON((-99.1718027089796 19.4131705883219, -99.1720543502432 19.4125634240204, -99.1720747903736 19.4125735663652, -99.172583596841 19.4128259775393, -99.1721288300168 19.4133295422719))"
17M,17M|CUAU_185,Rectoría de Nuestra Señora de Fátima,Iglesia,Chiapas 107,Jalapa y Avenida Yucatán,Roma Norte,Cuauhtémoc,1970,1,Muros de mampostería confinada,0.079,1.916872,117.0556,135.7617,0.04121298,Menores,Estructuras antiguas,"Agrietamiento y desprendimiento en muros de concreto de la fachada principal, rompimiento de cristales",Edificio alargado,6700,"POLYGON((-99.1603315509121 19.4129234332886, -99.1605089432915 19.412888709104, -99.1606100769408 19.4133533788703, -99.1604330847792 19.4133863634014, -99.160402951033 19.4132489793088, -99.160401861513 19.4132439968237))"
17M,17M|CUAU_103,Edificio,Edificio de departamentos,Mazatlán 103,Vicente Suárez y Fernando Montes de Oca,Condesa,Cuauhtémoc,1993,9,Columnas y losa plana de concreto,1.09076,0.8890878,73.74731,192.4742,1.22683,Menores,Grietas en acabados y elementos no estructurales,"Agrietamiento por cortante en muros de mampostería y golpeteo con edificio vecino, daños en elementos colindantes","Golpeteo
Planta baja débil
Irregularidad en planta
Daño causado por otro edificio",6140,"POLYGON((-99.1778643413245 19.4133142168535, -99.1779466825162 19.4131685037207, -99.1780812660426 19.4132368249754, -99.177998943333 19.4133825728369))"
17M,17M|CUAU_309,Casa,Casa habitación,Atlixco 58,Juan Escutia y Fernando Montes de Oca,Condesa,Cuauhtémoc,1951,2,Muros de mampostería confinada,0.158,1.142778,136.0753,236.3508,0.1382596,Menores,Grietas en acabados y elementos no estructurales,Agrietamiento de muros de fachada,"Irregularidad en planta
Autoconstrucción / Ampliaciones",6140,"POLYGON((-99.1738321985222 19.4134378668019, -99.1738378324168 19.413427925264, -99.1738676739205 19.413375214318, -99.1740116760889 19.4134490324371, -99.1739767158658 19.4135122809963))"
17M,17M|CUAU_186,Edificio,Edificio de departamentos,Jalapa 200,San Luis Potosí y Chiapas,Roma Norte,Cuauhtémoc,1965,6,Marcos de concreto con muros de mampostería,0.550335,1.968477,117.0556,247.3673,0.2795739,Menores,Grietas en acabados y elementos no estructurales,"Agrietamiento en columnas, desprendimiento de acabados de recubrimiento en planta baja",Ninguno apreciable,6700,"POLYGON((-99.1595757220374 19.4136515544814, -99.1596059213154 19.4136457686855, -99.1599024772511 19.4135890159325, -99.1599241019988 19.4136752168917, -99.1595974045219 19.4137460353601))"
17M,17M|CUAU_269,Edificio Basurto,Edificio de departamentos,Av. México 187,Celaya y Av. Sonora,Hipódromo,Cuauhtémoc,1950,14,Marcos de concreto con muros de mampostería,1.038986,1.583522,137.0712,348.0644,0.6561237,Menores,Grietas en acabados y elementos no estructurales,"Desprendimiento de acabaos, Agrietamiento por cortante de los muros de planta baja",Irregularidad en planta,6100,"POLYGON((-99.1673546863247 19.4137176771345, -99.1674254574756 19.4135040594664, -99.1677817415643 19.4135849815474, -99.1677465443943 19.413842378021, -99.1673866176724 19.4138285830438, -99.1674023934416 19.4137758789319, -99.1674146044852 19.4137350847637))"
17M,17M|CUAU_302,Edificio,Edificio de departamentos,Querétaro 222,Medellín y Monterrey,Roma Norte,Cuauhtémoc,1965,7,Marcos de concreto con muros de mampostería,0.6177849,1.75324,137.0712,268.3646,0.3523674,Menores,Grietas en acabados y elementos no estructurales,Vidrios rotos de ventanas de fachada,Ninguno apreciable,6700,"POLYGON((-99.1645008175002 19.4135921967924, -99.1645921900168 19.4135740937154, -99.1646653037589 19.4138979125474, -99.1645755872577 19.4139153906644, -99.1645014778169 19.4135950547603))"
17M,17M|CUAU_169,Casa,Desconocida,Ámsterdam 301,Celaya y Av. Sonora,Hipódromo,Cuauhtémoc,1942,2,Muros de mampostería no confinada,0.158,1.645062,137.0712,170.6498,0.096045,Intermedio,Estructuras débiles y sin ingeniería,La edificación ya se encontraba en mal estado antes del sismo,"Golpeteo
Irregularidad en planta
Autoconstrucción / Ampliaciones",6100,"POLYGON((-99.1666438029913 19.4139315386567, -99.1666453490329 19.4139267189202, -99.1666718493447 19.4138437975536, -99.1667658100248 19.4138713115609, -99.166737697612 19.4139592432034))"
17M,17M|CUAU_177,Edificio,Edificio de departamentos,Mérida 209,San Luis Potosí y Chiapas,Roma Norte,Cuauhtémoc,1957,4,Muros de mampostería confinada,0.316,2.133998,117.0556,191.88,0.1480788,Menores,Grietas en acabados y elementos no estructurales,"Agrietamiento en de muros en fachada principal, agrietamiento menor en balcones de pasillos, desprendimiento de acabados","Efecto de columna corta
Daños previos",6700,"POLYGON((-99.1562752955834 19.4140685591305, -99.1562922442446 19.4140648588775, -99.1566168476171 19.413994047433, -99.156646278172 19.4141267926623, -99.1563061693662 19.4141937457603))"
17M,17M|CUAU_164,Edificio,Comercio,Ámsterdam 77,Av. Parras y Laredo,Hipódromo,Cuauhtémoc,1974,11,Marcos de concreto con muros de mampostería,0,1.401366,136.0753,0,0,Menores,Grietas en acabados y elementos no estructurales,Desprendimiento de acabados,Cambios de rigidez en elevación,6100,"POLYGON((-99.1703612638666 19.4141478845937, -99.1704088697143 19.4140694047583, -99.1706467109391 19.4141800065872, -99.1706049052109 19.4142635832366))"
17M,17M|CUAU_188,Edificio,Edificio de departamentos,Querétaro 170,Tonalá y Avenida Yucatán,Roma Norte,Cuauhtémoc,1977,7,Marcos de concreto con muros de mampostería,0.6177849,1.8926,137.0712,268.3646,0.3264212,Menores,Grietas en acabados y elementos no estructurales,"Agrietamiento en muros divisorios de mampostería, desprendimiento de acabados de recubrimientos, agrietamiento en pretil",Golpeteo,6700,"POLYGON((-99.1620915816061 19.4140621776443, -99.1621005214882 19.4140604193091, -99.1621892530301 19.4140429709546, -99.1622634106889 19.4143657153414, -99.1621664415277 19.414384639668))"
17M,17M|CUAU_187,Edificio,Edificio de departamentos,Querétaro 168,Tonalá y Avenida Yucatán,Roma Norte,Cuauhtémoc,1989,8,Columnas y losa plana de concreto,0.9810516,1.8926,137.0712,345.5671,0.5183617,Menores,Grietas en acabados y elementos no estructurales,"Agrietamiento menor en unión columna trabe, desprendimiento de acabados en fachada principal. Rompimiento de cristales en fachada principal",Golpeteo,6700,"POLYGON((-99.161989725875 19.4140822042666, -99.1620915816061 19.4140621776443, -99.1621664415277 19.414384639668, -99.1620682425384 19.414403797783, -99.1620505967326 19.4143207704868, -99.1620396836709 19.4143228801166, -99.1620285979613 19.4142694845277))"
17M,17M|CUAU_178,Hotel Benidorm,Hotel,Frontera 217,San Luis Potosí y Chiapas,Benito Juárez,Cuauhtémoc,1994,12,Marcos de concreto con muros de mampostería,0.9255496,2.211338,117.0556,336.2129,0.4185473,Menores,Grietas en acabados y elementos no estructurales,"Agrietamiento y desprendimiento de acabados de recubrimiento en fachada principal, agrietamiento menor en muros de mampostería","Irregularidad vertical
Irregularidad en planta",6700,"POLYGON((-99.1547740894207 19.4142423808319, -99.1547931238117 19.4140044427297, -99.1549345123297 19.4139779145787, -99.1549358466211 19.4140020177553, -99.1549470792074 19.4142052412786, -99.1551537077802 19.4141663574651, -99.1551777336602 19.4144143268093, -99.1548219085841 19.4144866874454))"
17M,17M|CUAU_192,Edificio,Edificio de departamentos,Yucatán 69,Querétaro y Zacatecas,Roma Norte,Cuauhtémoc,1994,6,Marcos de concreto con muros de mampostería,0.550335,1.808606,137.0712,254.03,0.3042869,Menores,Grietas en acabados y elementos no estructurales,Desprendimiento de acabados de recubrimiento de loseta en fachada principal,Ninguno apreciable,6700,"POLYGON((-99.1638853480804 19.4145051749251, -99.1639812481129 19.4143554434633, -99.1639896346604 19.414342326795, -99.1641379590683 19.4143670491048, -99.1640024939453 19.4145744079681))"
17M,17M|CUAU_167,Casa,Casa habitación,Plaza Popocatépetl 46,Av. México,Hipódromo,Cuauhtémoc,1929,3,Muros de mampostería confinada,0.237,1.579296,137.0712,187.4391,0.1500669,Graves,"Grietas grandes en muros, trabes o columnas","Golpeteo con la edificación vecina, provocando graves daños alas paredes y transmitiendo la fuerza por toda la vivienda",Golpeteo,6100,"POLYGON((-99.1681354846335 19.4145317031477, -99.1682105917013 19.4143822601948, -99.1682345798496 19.4143349718882, -99.1683070012405 19.4143702698196, -99.1682053380793 19.414575657638, -99.168167640449 19.4145493022387))"
17M,17M|CUAU_168,Edificio,Edificio de departamentos,Celaya 26,Esq. Plaza Popocatépetl,Hipódromo,Cuauhtémoc,1964,10,Marcos de concreto,1.199253,1.623806,137.0712,341.7761,0.7385445,Intermedio,"Grietas pequeñas en muros, trabes o columnas","Golpeteo con edificación vecina, dañando las columnas del primer nivel, acero de refuerzo expuesto",Efecto de esquina,6100,"POLYGON((-99.1674214219678 19.4144526236584, -99.1674614233933 19.4143809611903, -99.1675213660326 19.4142812581562, -99.1677443517646 19.414290382093, -99.1677887728474 19.414569256835, -99.1677813851749 19.4145684136584, -99.1677767636199 19.4145689459856, -99.1677496711614 19.4145770511337, -99.1677187550251 19.4145899937802, -99.1677118708727 19.4145941160017, -99.1676956229943 19.4146073431002))"
17M,17M|CUAU_166,Edificio,Edificio de departamentos,Av. México 4,Esq. Plaza Popocatépetl,Hipódromo,Cuauhtémoc,1978,11,Marcos de concreto con muros de mampostería,0.8670782,1.597927,137.0712,321.3451,0.5426269,Menores,Grietas en acabados y elementos no estructurales,Desprendimiento de acabados de fachada.,"Efecto de esquina
Golpeteo
Planta baja débil
Irregularidad en planta",6100,"POLYGON((-99.1682053380793 19.414575657638, -99.1682198362833 19.4145476048068, -99.1683040754669 19.4143762114471, -99.1683851653679 19.4146092431815, -99.1682647313974 19.4146400231034))"
17M,17M|CUAU_33,Edificio,Edificio de departamentos,Av. Sonora 149,Ámsterdam y Av. México,Hipódromo Condesa,Cuauhtémoc,1973,8,Columnas y losa plana de concreto,0.9810516,1.524384,137.0712,345.5671,0.6435724,Colapso parcial,Colapso de pisos superiores,Colapso del sexto nivel del edificio,"Golpeteo
Planta baja débil
Irregularidad en planta
Presencia de apéndices",6100,"POLYGON((-99.1691738000045 19.4145397300502, -99.1692376754231 19.4144946167667, -99.1693824884054 19.4143923517464, -99.1694474833571 19.4144466840852, -99.1695414932076 19.4143426588347, -99.1695984895023 19.4143882835074, -99.1695046356925 19.4144883030496, -99.1692546569796 19.4146459452272))"
17M,17M|CUAU_68,Edificio,Edificio de departamentos,Dr. Lucio 255,Dr. Francisco de P. Carrá y  Dr. Balmis,Doctores,Cuauhtémoc,1944,4,Muros de mampostería confinada,0.316,2.30447,80.49301,146.2245,0.1371248,Intermedio,"Grietas pequeñas en muros, trabes o columnas","Desprendimiento de acabado de losa, grietas por cortante en muros. Caída de acabados","Planta baja débil
Daños previos
Autoconstrucción / Ampliaciones",6720,"POLYGON((-99.1530533569676 19.4146753103592, -99.1530788795587 19.4144788839472, -99.1533832567277 19.4144942091632, -99.1533716034084 19.4146068095304, -99.1533380053596 19.4146043719468, -99.1533297469166 19.4147009980274))"
17M,17M|CUAU_102,Edificio,Edificio de departamentos,Fernando Montes de Oca 108,Esq. Pachuca,Condesa,Cuauhtémoc,1997,8,Marcos de concreto,0.9810516,0.8753042,73.74731,204.8574,1.120812,Menores,Grietas en acabados y elementos no estructurales,Agrietamiento por cortante en muros divisorios en fachada principal,"Efecto de esquina
Planta baja débil
Irregularidad en planta",6140,"POLYGON((-99.1781564206228 19.4146143602972, -99.178267318271 19.4144157096413, -99.1783570416639 19.4144608517465, -99.1784307072795 19.4144979246275, -99.1783189151774 19.4146975331829))"
17M,17M|CUAU_322,Edificio,Servicios médicos,Zacatecas 230,Medellín y Yucatán,Roma Norte,Cuauhtémoc,1986,7,Marcos de concreto con muros de mampostería,0.6177849,1.778318,137.0712,268.3646,0.3473984,Menores,Grietas en acabados y elementos no estructurales,Desprendimiento de parte de un muros de mampostería,Ninguno apreciable,6700,"POLYGON((-99.1647365710758 19.4144149681896, -99.1647510407609 19.4144121349224, -99.1648912147277 19.4143847389453, -99.16496751148 19.414714854401, -99.1648165708433 19.414744594267))"
17M,17M|CUAU_165,Edificio,Edificio de departamentos,Av. México 11,Esq. Av. Sonora,Hipódromo,Cuauhtémoc,1966,8,Columnas y losa plana de concreto,0.9810516,1.549653,137.0712,345.5671,0.6330784,Intermedio,"Grietas pequeñas en muros, trabes o columnas","Desprendimiento de acabados, agrietamiento de muros y aplastamiento de  muros del primer nivel","Efecto de esquina
Planta baja débil
Irregularidad en planta",6100,"POLYGON((-99.1687295618156 19.4146565064964, -99.1687839709701 19.4146284290183, -99.1688260894439 19.4146072267756, -99.1688580133418 19.4146101573099, -99.1688911689823 19.4146208108106, -99.1689617548176 19.4147173459845, -99.1687932124556 19.4148214753154))"
17M,17M|CUAU_301,Edificio,Edificio de departamentos,Sonora 141,Esq. Ámsterdam,Hipódromo,Cuauhtémoc,1987,13,Marcos de concreto con muros de mampostería,0.9828138,1.49841,137.0712,345.9416,0.6559042,Menores,Grietas en acabados y elementos no estructurales,Desprendimiento de acabados de fachada,Efecto de esquina,6100,"POLYGON((-99.1693631796169 19.41478851793, -99.1693700238583 19.4147849420592, -99.1694904548704 19.4147192746493, -99.1694161152833 19.4146471149494, -99.1694900492949 19.4145959064248, -99.1696337668483 19.4147126134997, -99.1694575106483 19.4149051358698))"
17M,17M|CUAU_289,Edificio,Oficina privada,Zacatecas 206,Yucatán y Monterrey,Roma Norte,Cuauhtémoc,1987,8,Marcos de concreto con muros de mampostería,0.6828593,1.869691,137.0712,282.1944,0.3652256,Menores,Grietas en acabados y elementos no estructurales,Colapso de la fachada de vidrio y pequeños agrietamientos,"Irregularidad vertical
Presencia de apéndices",6700,"POLYGON((-99.1636396176573 19.4148019604178, -99.1636866820441 19.4147922386658, -99.1636822125124 19.4147704726825, -99.1637244819769 19.4147610012679, -99.1637690208545 19.4149504490151, -99.1636798652087 19.4149679586798))"
17M,17M|CUAU_268,Edificio,Edificio de departamentos,Doctor Balmis 195,Dr. M. Villada y Dr. Lucio,Doctores,Cuauhtémoc,1950,5,Marcos de concreto con muros de mampostería,0.48,2.310582,80.49301,180.3382,0.2077398,Menores,Grietas en acabados y elementos no estructurales,"Formación de articulaciones plásticas en castillos de azotea, Desprendimiento del confinamiento de los muros la azotea","Efecto de esquina
Irregularidad en planta",6720,"POLYGON((-99.1529829819448 19.4152074483241, -99.1529895540978 19.4151631594138, -99.1530953672967 19.4150787622046, -99.1532255340981 19.4150851142842, -99.1532127463877 19.415224177078))"
17M,17M|CUAU_182,Hospital Ángeles Roma,Hospital,Querétaro 58,Mérida y Córdoba,Roma Norte,Cuauhtémoc,1968,7,Marcos de concreto con muros de mampostería,0,2.152151,117.0556,272.5738,0,Menores,Grietas en acabados y elementos no estructurales,"Agrietamiento en muro colindante, desprendiendo de acabados de recubrimiento, agrietamiento en columna de acceso principal",Ninguno apreciable,6700,"POLYGON((-99.157041447423 19.4150740688129, -99.1570691947961 19.4150684004412, -99.1571273651773 19.4150565147232, -99.1571236092609 19.415040948852, -99.1571502901336 19.4150357312303, -99.1571713021862 19.4151310402817, -99.1571445354193 19.4151360135606, -99.1571688241712 19.4152407393702, -99.1571943816933 19.4152356929785, -99.1572218253562 19.4153601547372, -99.1571108816374 19.415382336786))"
17M,17M|CUAU_181,Edificio,Edificio de departamentos,Querétaro 48,Esq. Mérida,Roma Norte,Cuauhtémoc,1955,5,Marcos de concreto con muros de mampostería,0.48,2.175658,117.0556,230.7129,0.2206229,Menores,Grietas en acabados y elementos no estructurales,"Agrietamiento en muros divisorios de mampostería, desprendimiento de acabados de yeso",Efecto de esquina,6700,"POLYGON((-99.1565964447623 19.4153707462337, -99.1566580445569 19.4153577549002, -99.1567300711382 19.4153425590976, -99.1567555946892 19.4154533314111, -99.1566227099451 19.4154798820259))"
17M,17M|CUAU_207,Casa,Casa habitación,Parque España 43,Av. Veracruz y Juan de la Barrera,Condesa,Cuauhtémoc,1960,1,Muros de mampostería no confinada,0.079,1.312307,136.0753,186.2131,0.06019931,Intermedio,Estructuras débiles y sin ingeniería,"Fachada con daños en estructura graves, sufre daños por cortante, en el interior sufre daños similares.",Autoconstrucción / Ampliaciones,6140,"POLYGON((-99.1720538798068 19.4153887459717, -99.1720791357951 19.415342975836, -99.1720998088321 19.4152958278864, -99.1723188258343 19.415408390056, -99.1722701074446 19.4154945152498))"
17M,17M|CUAU_190,Edificio,Oficina privada,Monterrey 154,Guanajuato y Zacatecas,Roma Norte,Cuauhtémoc,1989,4,Marcos de concreto con muros de mampostería,0.4060306,1.886369,137.0712,223.362,0.2152445,Menores,Grietas en acabados y elementos no estructurales,El edificio presenta una inclinación la cual provoco un golpeteo con el edificio del registro CUAU_189,"Golpeteo
Planta baja débil",6700,"POLYGON((-99.163283438641 19.4154856900426, -99.1633140078646 19.4154797516108, -99.1635027981185 19.4154430921476, -99.163525330897 19.415532137958, -99.1633042724961 19.4155755538742))"
17M,17M|CUAU_84,Casa,Casa habitación,Gutiérrez Nájera 67,Bolívar y José T. Cuellar,Doctores,Cuauhtémoc,1962,1,Muros de mampostería confinada,0.079,2.868385,82.28186,100.8434,0.02754163,Intermedio,"Grietas pequeñas en muros, trabes o columnas",Agrietamiento por cortante en muros de mampostería,Autoconstrucción / Ampliaciones,6800,"POLYGON((-99.1402117532916 19.4155885165805, -99.1402118289246 19.4155876136205, -99.1402343429416 19.4153139567492, -99.1403113184496 19.4153203687494, -99.1402866120706 19.4155949085582))"
17M,17M|CUAU_184,Vivienda,Casa habitación,Querétaro 87,Orizaba y Córdoba,Roma Norte,Cuauhtémoc,1950,3,Muros de mampostería no confinada,0.237,2.097044,117.0556,173.1739,0.1130162,Intermedio,Estructuras débiles y sin ingeniería,"Agrietamiento de muros de mampostería, desprendimiento de acabados de recubrimiento","Daños previos
Autoconstrucción / Ampliaciones",6700,"POLYGON((-99.1584853492671 19.4152952147408, -99.1585569944009 19.4152812167711, -99.1585775670178 19.4152772017964, -99.1586510543288 19.415612150019, -99.1585612973769 19.4156296920198))"
17M,17M|CUAU_100,Casa,Casa habitación,Juan Escutia 94,Pachuca y Mazatlán,Condesa,Cuauhtémoc,1960,2,Muros de mampostería confinada,0.158,0.988022,136.0753,236.3508,0.1599155,Menores,Grietas en acabados y elementos no estructurales,Agrietamiento por cortante en muro de carga,Autoconstrucción / Ampliaciones,6140,"POLYGON((-99.1766692596373 19.4156394485408, -99.1766768266591 19.4156262503452, -99.1767632671081 19.4154754917488, -99.1768381523448 19.4155136909235, -99.1767438401783 19.4156778644567))"
