Zona,Immuebla,Edificio,Uso,Calle,Calle2,Colonia,Delegación/Colonia,Año estimado de construcción,Número de pisos:,Sistema estructural,Periodo estimado de la estructura (Te),Periodo estimado del suelo (Ts),amax Estructura,amax Suelo,Cociente Te/Ts,Daño,Daño en Estructuras,Observaciones,Agravante de los daños,MM,Geometry
17E,17E|COAT_03,"Casa 3, Coatepec",Casa Habitación,Francisco I. Madero S/N,Hermenegildo Galeana y Mendez Lugo,Coatepec Harinas,Coatepec,,1,Muros de mampostería confinada,0.079,,,,,Colapso parcial,Colapso de pisos superiores,Colapso parcial de la estructura y colapso parcial de la barda,Autoconstrucción / Ampliaciones,51700,"POLYGON((-99.7671233856672 18.9252821149879, -99.7671233856672 18.9251307812679, -99.7674374745199 18.9251336366212, -99.7674431852264 18.9252835426645))"
17E,17E|COAT_04,"Casa 4, Coatepec",Barda,Mendez Lugo S/N,Alvaro Obregon y Jose Ma. Morelos,Coatepec Harinas,Coatepec,,1,Muros de mampostería no confinada,0.079,,,,,Graves,Barda,"Grieta importante en muro, y caida de tecumbre",Autoconstrucción / Ampliaciones,51700,"POLYGON((-99.7678870498825 18.926285843024, -99.7680126854235 18.9262872707006, -99.7680155407767 18.9263814973563, -99.7678899052356 18.9263786420032))"
17E,17E|COAT_05,Templo del Señor del Calvario,Iglesia,Benito Juarez S/N,Jose M. Morelos y Ignacio Zaragoza,Coatepec Harinas,Coatepec,,1,Mampostería histórica,0.079,,,,,Intermedio,Estructuras antiguas,Grieta en cupula y ruptura de uno de sus arcos.  Acabados del campanario caídos,"Irregularidad vertical
Irregularidad en planta",51700,"POLYGON((-99.768209942741 18.92541043932, -99.768209942741 18.9253133573109, -99.7682841819243 18.9253133573109, -99.7682898926308 18.9250420987563, -99.7683983960526 18.925039243403, -99.7683926853462 18.9253147849873, -99.7684712075593 18.9253176403406, -99.7683955406994 18.9254175777028, -99.7683998237292 18.9254818231501, -99.7682727605115 18.9254789677969, -99.7682770435413 18.9254175777028))"
17E,17E|OCUILAN_01,Capilla de Santa Maria,Iglesia,Independencia (G.Maps) 218,5 de Mayo y Francisco Sarabia (G.Maps),Ocuilan,Oculian,,1,Mampostería histórica,0.079,,,,,Colapso parcial,Estructuras antiguas,"Colapso parcial de la cúpula, muros y techo. Daño considerable","Irregularidad vertical
Irregularidad en planta",52480,"POLYGON((-99.4197796032641 18.9748345837186, -99.4197881693237 18.974762248104, -99.4200165975803 18.9748088855397, -99.4200051761675 18.9748840765075))"
17E,17E|OCUILAN_02,Parroquia de San Antonio Apostol,Iglesia,José María Arteaga (G.Maps) S/N,Lazaro Cardenas y Alvaro Obregon (G.Maps),Oculian,Oculian,,2,Mampostería histórica,0.158,,,,,Colapso parcial,Estructuras antiguas,"Colapso parcial de la fachada, asi como en  la caída y fracturas en el campanario","Irregularidad vertical
Irregularidad en planta",52480,"POLYGON((-99.4152442031368 18.979875364335, -99.4153120177754 18.9794506305455, -99.4163042530149 18.9796326593124, -99.4162364383762 18.9800431163359))"
17E,17E|SALI_01,"Casa 1, SAI",Casa Habitación,Cristobal Colon 149,Colon y 5 de Mayo,Lucas Tepemajalco,San Antonio la Isla,,1,Muros de mampostería de adobe,0.079,,,,,Colapso total,Estructuras débiles y sin ingeniería,Colapso  total,"Daños previos
Autoconstrucción / Ampliaciones",52280,"POLYGON((-99.5656012451096 19.1574854566967, -99.5656055281393 19.1574240666029, -99.5657168869144 19.157434060339, -99.5657118900463 19.1574947365947))"
17E,17E|CALMY_01,Capilla del Señor del Calvario,Iglesia,Miguel Hidalgo S/N,Miguel Hidalgo esquina con Rodolfo Sanchez Garcia,Barrio del Calvario,Calimaya,,1,Mampostería histórica,0.079,,,,,Intermedio,Estructuras antiguas,"Daño en columnas  del campanario, asi como fisuras en la cupula.","Irregularidad vertical
Irregularidad en planta",52205,"POLYGON((-99.6198136862679 19.1551894787922, -99.6198731727931 19.1547921088043, -99.6200611502126 19.1548182828754, -99.6200111815314 19.1552085144803))"
17E,17E|MALI_01,Capilla de San Martín,Iglesia,Av. La Paz S/N,Av. La Paz esquina con Porfirio Diaz,San Martin,Malinalco,,1,Mampostería histórica,0.079,,,,,Intermedio,Estructuras antiguas,"Fracturas en cúpula, daños en campanarios.","Irregularidad vertical
Irregularidad en planta",52440,"POLYGON((-99.5013170950792 18.9446292152722, -99.5013413655815 18.9445335609397, -99.5016026304 18.9446120831528, -99.501581215251 18.9447034544555))"
17E,17E|MALI_02,"Casa 1, Malinalco",Casa Habitación,AV Hidalgo 4513,AV Hidalgo esquina con Morelos,Santa Maria,Malinalco,,1,Muros de mampostería no confinada,0.079,,,,,Graves,Estructuras débiles y sin ingeniería,Caída de barda y parte del tejado,"Efecto de esquina
Irregularidad vertical
Autoconstrucción / Ampliaciones",52440,"POLYGON((-99.4956618519094 18.9508549038768, -99.4957094411295 18.9507168951385, -99.4959759407621 18.9507701950651, -99.4959293033264 18.9509167698629))"
17E,17E|MALI_03,Convento Agustino de la Transfiguración,Iglesia,Malinalco S/N,Hidalgo y Vicente Guerrero,Centro,Malinalco,,1,Mampostería histórica,0.079,,,,,Intermedio,Estructuras antiguas,Fractura en arcos  y fisuras en el techo. Daño en la torre.,"Irregularidad vertical
Irregularidad en planta",52440,"POLYGON((-99.4965016628425 18.9507889134916, -99.496623491246 18.9502882748959, -99.4972764153461 18.9504805353453, -99.4971336476856 18.9509925953537))"
